competition,date,home_team,away_team,venue
eliteserien_2026,2026-05-24,kfum_oslo_m,rosenborg_m,
eliteserien_2026,2026-05-24,kristiansund_m,aalesund_m,
eliteserien_2026,2026-05-24,sandefjord_m,sarpsborg08_m,
eliteserien_2026,2026-05-24,start_m,tromso_m,
toppserien_2026,2026-05-30,aalesund_w,valerenga_w,
toppserien_2026,2026-05-30,bodo_glimt_w,brann_w,
toppserien_2026,2026-05-30,molde_w,haugesund_w,
toppserien_2026,2026-05-30,roa_w,honefoss_w,
toppserien_2026,2026-05-30,rosenborg_w,lyn_w,
toppserien_2026,2026-05-30,stabak_w,lsk_kvinner_w,
eliteserien_2026,2026-05-31,aalesund_m,bodo_glimt_m,
eliteserien_2026,2026-05-31,fredrikstad_m,kfum_oslo_m,
eliteserien_2026,2026-05-31,hamkam_m,sandefjord_m,
eliteserien_2026,2026-05-31,molde_m,viking_m,
eliteserien_2026,2026-05-31,rosenborg_m,valerenga_m,
eliteserien_2026,2026-05-31,sarpsborg08_m,lillestrom_m,
toppserien_2026,2026-06-06,aalesund_w,molde_w,
toppserien_2026,2026-06-06,brann_w,roa_w,
toppserien_2026,2026-06-06,haugesund_w,stabak_w,
toppserien_2026,2026-06-06,honefoss_w,rosenborg_w,
toppserien_2026,2026-06-06,lyn_w,lsk_kvinner_w,
toppserien_2026,2026-06-06,valerenga_w,bodo_glimt_w,
eliteserien_2026,2026-06-14,aalesund_m,valerenga_m,
eliteserien_2026,2026-06-14,brann_m,molde_m,
eliteserien_2026,2026-06-14,fredrikstad_m,sarpsborg08_m,
eliteserien_2026,2026-06-14,hamkam_m,rosenborg_m,
eliteserien_2026,2026-06-14,kfum_oslo_m,kristiansund_m,
eliteserien_2026,2026-06-14,start_m,sandefjord_m,
eliteserien_2026,2026-06-14,tromso_m,bodo_glimt_m,
eliteserien_2026,2026-06-14,viking_m,lillestrom_m,
eliteserien_2026,2026-06-19,molde_m,tromso_m,
toppserien_2026,2026-06-20,brann_w,rosenborg_w,
toppserien_2026,2026-06-20,haugesund_w,lyn_w,
toppserien_2026,2026-06-20,lsk_kvinner_w,honefoss_w,
toppserien_2026,2026-06-20,molde_w,valerenga_w,
toppserien_2026,2026-06-20,roa_w,bodo_glimt_w,
toppserien_2026,2026-06-20,stabak_w,aalesund_w,
eliteserien_2026,2026-06-21,fredrikstad_m,hamkam_m,
eliteserien_2026,2026-06-21,kfum_oslo_m,bodo_glimt_m,
eliteserien_2026,2026-06-21,kristiansund_m,valerenga_m,
eliteserien_2026,2026-06-21,lillestrom_m,start_m,
eliteserien_2026,2026-06-21,rosenborg_m,viking_m,
eliteserien_2026,2026-06-21,sarpsborg08_m,aalesund_m,
eliteserien_2026,2026-06-27,valerenga_m,viking_m,
eliteserien_2026,2026-06-29,start_m,brann_m,
eliteserien_2026,2026-06-29,tromso_m,kristiansund_m,
toppserien_2026,2026-06-30,haugesund_w,brann_w,
toppserien_2026,2026-06-30,lyn_w,aalesund_w,
eliteserien_2026,2026-07-02,valerenga_m,lillestrom_m,
toppserien_2026,2026-07-03,molde_w,stabak_w,
toppserien_2026,2026-07-03,valerenga_w,roa_w,
toppserien_2026,2026-07-05,bodo_glimt_w,rosenborg_w,
toppserien_2026,2026-07-05,brann_w,lsk_kvinner_w,
toppserien_2026,2026-07-05,honefoss_w,haugesund_w,
toppserien_2026,2026-07-10,lsk_kvinner_w,bodo_glimt_w,
toppserien_2026,2026-07-10,stabak_w,valerenga_w,
toppserien_2026,2026-07-12,honefoss_w,aalesund_w,
toppserien_2026,2026-07-12,rosenborg_w,roa_w,
toppserien_2026,2026-07-13,lyn_w,molde_w,
eliteserien_2026,2026-08-02,molde_m,hamkam_m,
eliteserien_2026,2026-08-02,sandefjord_m,brann_m,
eliteserien_2026,2026-08-09,aalesund_m,kfum_oslo_m,
eliteserien_2026,2026-08-09,bodo_glimt_m,kristiansund_m,
eliteserien_2026,2026-08-09,brann_m,tromso_m,
eliteserien_2026,2026-08-09,lillestrom_m,hamkam_m,
eliteserien_2026,2026-08-09,molde_m,start_m,
eliteserien_2026,2026-08-09,sarpsborg08_m,rosenborg_m,
eliteserien_2026,2026-08-09,valerenga_m,fredrikstad_m,
eliteserien_2026,2026-08-09,viking_m,sandefjord_m,
